State,Year,Dayweek,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,Age Group,Time of day
Qld,2020,Thursday,Single,No,No,No,100,Driver,Male,31,Outer Regional Australia,26_to_39,Night
Qld,2020,Friday,Single,No,No,No,80,Motorcycle rider,Male,29,Major Cities of Australia,26_to_39,Night
Qld,2020,Sunday,Single,No,No,No,80,Driver,Male,43,Outer Regional Australia,40_to_64,Night
ACT,2020,Sunday,Multiple,No,No,No,80,Passenger,Male,30,Major Cities of Australia,26_to_39,Day
Qld,2020,Sunday,Single,No,No,No,100,Driver,Female,28,Inner Regional Australia,26_to_39,Night
Qld,2020,Sunday,Multiple,No,No,No,80,Driver,Male,56,Outer Regional Australia,40_to_64,Day
Qld,2020,Sunday,Multiple,No,No,No,80,Driver,Male,72,Outer Regional Australia,65_to_74,Day
Qld,2020,Sunday,Multiple,No,No,No,80,Passenger,Female,70,Outer Regional Australia,65_to_74,Day
NSW,2020,Saturday,Multiple,No,No,No,100,Driver,Female,72,Outer Regional Australia,65_to_74,Day
NSW,2020,Saturday,Multiple,No,No,No,100,Passenger,Female,4,Outer Regional Australia,0_to_16,Day
NSW,2020,Saturday,Multiple,No,No,No,80,Motorcycle rider,Male,52,Inner Regional Australia,40_to_64,Day
NSW,2020,Saturday,Multiple,No,Yes,No,80,Motorcycle rider,Male,70,Inner Regional Australia,65_to_74,Day
Qld,2020,Sunday,Multiple,No,No,Yes,100,Driver,Male,18,Outer Regional Australia,17_to_25,Day
Qld,2020,Saturday,Single,No,No,No,100,Driver,Male,57,Outer Regional Australia,40_to_64,Night
SA,2020,Sunday,Multiple,No,No,Yes,100,Driver,Female,21,Outer Regional Australia,17_to_25,Night
Qld,2020,Friday,Single,No,No,No,70,Driver,Male,21,Outer Regional Australia,17_to_25,Day
NSW,2020,Friday,Multiple,No,No,No,100,Driver,Female,69,Inner Regional Australia,65_to_74,Night
SA,2020,Wednesday,Single,No,No,No,80,Motorcycle rider,Male,31,Inner Regional Australia,26_to_39,Day
NSW,2020,Friday,Single,No,No,No,100,Driver,Male,58,Outer Regional Australia,40_to_64,Night
NSW,2020,Sunday,Single,No,No,No,70,Passenger,Male,22,Major Cities of Australia,17_to_25,Night
NSW,2020,Sunday,Single,No,No,No,70,Driver,Male,23,Major Cities of Australia,17_to_25,Night
NSW,2020,Monday,Multiple,No,No,No,70,Motorcycle rider,Female,52,Major Cities of Australia,40_to_64,Day
Qld,2020,Tuesday,Multiple,Yes,No,No,60,Motorcycle rider,Male,45,Major Cities of Australia,40_to_64,Day
NSW,2020,Monday,Multiple,No,No,No,70,Driver,Female,22,Major Cities of Australia,17_to_25,Night
NSW,2020,Tuesday,Single,No,No,No,60,Driver,Male,65,Major Cities of Australia,65_to_74,Day
NSW,2020,Wednesday,Single,No,No,No,100,Driver,Male,31,Outer Regional Australia,26_to_39,Night
NSW,2020,Wednesday,Single,No,No,No,50,Driver,Female,42,Inner Regional Australia,40_to_64,Night
NSW,2020,Thursday,Single,No,No,No,70,Driver,Male,38,Major Cities of Australia,26_to_39,Day
Qld,2020,Monday,Multiple,No,No,No,60,Driver,Male,76,Inner Regional Australia,75_or_older,Day
NSW,2020,Tuesday,Multiple,No,No,No,100,Passenger,Female,97,Inner Regional Australia,75_or_older,Day
Qld,2020,Tuesday,Multiple,No,No,Yes,80,Driver,Female,45,Outer Regional Australia,40_to_64,Day
SA,2020,Monday,Multiple,No,No,No,100,Driver,Male,75,Major Cities of Australia,75_or_older,Day
NSW,2020,Saturday,Single,No,No,Yes,100,Pedestrian,Male,26,Inner Regional Australia,26_to_39,Night
NSW,2020,Monday,Single,No,No,No,50,Driver,Male,32,Very Remote Australia,26_to_39,Night
Qld,2020,Sunday,Single,No,No,No,100,Passenger,Female,23,Very Remote Australia,17_to_25,Night
NSW,2020,Wednesday,Single,No,No,No,100,Motorcycle rider,Male,20,Remote Australia,17_to_25,Night
NSW,2020,Saturday,Multiple,No,No,No,60,Motorcycle rider,Female,27,Major Cities of Australia,26_to_39,Night
Qld,2020,Friday,Single,No,No,No,60,Driver,Male,31,Major Cities of Australia,26_to_39,Night
Qld,2020,Sunday,Multiple,No,No,No,100,Driver,Male,52,Outer Regional Australia,40_to_64,Day
Qld,2020,Saturday,Single,No,No,No,60,Driver,Female,72,Inner Regional Australia,65_to_74,Day
NSW,2020,Saturday,Single,No,No,No,110,Driver,Male,32,Remote Australia,26_to_39,Day
Qld,2020,Saturday,Single,No,No,No,100,Driver,Male,30,Outer Regional Australia,26_to_39,Day
Qld,2020,Saturday,Multiple,No,No,No,60,Driver,Male,22,Outer Regional Australia,17_to_25,Night
Qld,2020,Saturday,Multiple,No,No,No,60,Driver,Male,50,Outer Regional Australia,40_to_64,Night
NSW,2020,Wednesday,Multiple,No,No,Yes,50,Driver,Female,39,Major Cities of Australia,26_to_39,Day
NSW,2020,Monday,Single,No,No,No,100,Driver,Female,31,Outer Regional Australia,26_to_39,Day
Qld,2020,Sunday,Single,No,No,No,60,Driver,Male,25,Inner Regional Australia,17_to_25,Night
NSW,2020,Monday,Single,No,No,No,50,Driver,Male,17,Inner Regional Australia,17_to_25,Night
SA,2020,Wednesday,Single,No,No,No,100,Driver,Female,19,Remote Australia,17_to_25,Night
Qld,2020,Wednesday,Single,No,No,No,100,Driver,Male,38,Remote Australia,26_to_39,Night
NSW,2020,Thursday,Multiple,No,No,No,60,Motorcycle rider,Male,36,Major Cities of Australia,26_to_39,Night
NSW,2020,Wednesday,Multiple,No,No,No,70,Motorcycle rider,Male,45,Major Cities of Australia,40_to_64,Night
Qld,2020,Thursday,Single,No,No,No,100,Driver,Male,45,Very Remote Australia,40_to_64,Night
Qld,2020,Monday,Multiple,No,No,No,60,Driver,Male,50,Major Cities of Australia,40_to_64,Night
NSW,2020,Thursday,Multiple,No,No,Yes,110,Driver,Male,58,Inner Regional Australia,40_to_64,Night
NSW,2020,Monday,Multiple,No,No,No,100,Driver,Male,84,Inner Regional Australia,75_or_older,Day
NSW,2020,Monday,Multiple,No,No,No,50,Driver,Female,83,Major Cities of Australia,75_or_older,Day
NSW,2020,Tuesday,Single,No,No,No,100,Driver,Male,84,Remote Australia,75_or_older,Day
Qld,2020,Sunday,Single,No,No,No,50,Passenger,Male,18,Inner Regional Australia,17_to_25,Night
NSW,2020,Saturday,Multiple,No,No,No,50,Driver,Male,20,Outer Regional Australia,17_to_25,Night
NT,2020,Tuesday,Single,No,No,No,130,Driver,Male,34,Very Remote Australia,26_to_39,Night
SA,2020,Wednesday,Single,No,No,No,60,Driver,Male,27,Major Cities of Australia,26_to_39,Night
Qld,2020,Sunday,Multiple,No,No,No,60,Driver,Male,21,Major Cities of Australia,17_to_25,Day
Qld,2020,Sunday,Multiple,No,No,No,60,Passenger,Male,21,Major Cities of Australia,17_to_25,Day
Qld,2020,Sunday,Multiple,No,No,No,60,Passenger,Female,17,Major Cities of Australia,17_to_25,Day
NT,2020,Saturday,Single,No,No,No,130,Driver,Male,18,Very Remote Australia,17_to_25,Day
Qld,2020,Sunday,Multiple,No,No,No,100,Motorcycle rider,Male,32,Inner Regional Australia,26_to_39,Day
Vic,2020,Monday,Single,No,No,No,50,Motorcycle rider,Male,49,Major Cities of Australia,40_to_64,Night
Vic,2020,Saturday,Single,No,No,No,100,Motorcycle rider,Male,48,Inner Regional Australia,40_to_64,Day
Qld,2020,Saturday,Single,No,No,No,60,Pedestrian,Male,35,Major Cities of Australia,26_to_39,Night
Vic,2020,Saturday,Multiple,No,No,No,100,Pedal cyclist,Male,54,Inner Regional Australia,40_to_64,Day
NT,2020,Saturday,Single,No,No,No,130,Passenger,Male,52,Very Remote Australia,40_to_64,Day
Qld,2020,Sunday,Single,No,No,No,100,Motorcycle rider,Male,71,Inner Regional Australia,65_to_74,Day
Vic,2020,Saturday,Single,No,No,No,110,Driver,Male,28,Inner Regional Australia,26_to_39,Day
NSW,2020,Saturday,Multiple,No,No,No,70,Driver,Male,84,Major Cities of Australia,75_or_older,Day
Tas,2020,Saturday,Multiple,No,No,No,80,Driver,Female,50,Outer Regional Australia,40_to_64,Day
Qld,2020,Sunday,Multiple,No,No,No,60,Motorcycle rider,Male,49,Major Cities of Australia,40_to_64,Day
Qld,2020,Saturday,Single,No,No,No,100,Motorcycle rider,Male,49,Inner Regional Australia,40_to_64,Day
NT,2020,Sunday,Single,No,No,No,100,Passenger,Female,7,Very Remote Australia,0_to_16,Day
NSW,2020,Sunday,Multiple,No,No,Yes,100,Passenger,Male,78,Inner Regional Australia,75_or_older,Day
NSW,2020,Sunday,Multiple,No,No,Yes,100,Driver,Female,75,Inner Regional Australia,75_or_older,Day
Qld,2020,Friday,Multiple,No,No,No,70,Pedal cyclist,Male,14,Major Cities of Australia,0_to_16,Day
NSW,2020,Saturday,Single,No,No,No,60,Passenger,Male,19,Major Cities of Australia,17_to_25,Night
NSW,2020,Wednesday,Multiple,No,No,No,100,Driver,Male,32,Outer Regional Australia,26_to_39,Day
Qld,2020,Wednesday,Single,No,No,No,80,Driver,Male,29,Outer Regional Australia,26_to_39,Day
Qld,2020,Wednesday,Single,No,No,No,80,Passenger,Male,9,Inner Regional Australia,0_to_16,Night
Qld,2020,Tuesday,Multiple,No,Yes,No,80,Driver,Female,72,Inner Regional Australia,65_to_74,Day
NSW,2020,Tuesday,Single,Yes,No,No,100,Driver,Female,69,Inner Regional Australia,65_to_74,Day
Vic,2020,Monday,Multiple,No,No,No,100,Pedal cyclist,Female,41,Inner Regional Australia,40_to_64,Day
SA,2020,Friday,Multiple,No,Yes,No,100,Driver,Female,70,Inner Regional Australia,65_to_74,Day
SA,2020,Friday,Multiple,No,Yes,No,100,Passenger,Female,84,Inner Regional Australia,75_or_older,Day
Qld,2020,Wednesday,Single,No,No,No,80,Driver,Female,48,Inner Regional Australia,40_to_64,Night
